time,vSI,vs
0.0,1.0,0.0
2.0000000000000001e-4,1.0,0.0
4.00000000000000019e-4,1.0,0.0
6.00000000000000056e-4,1.0,0.0
8.00000000000000038e-4,9.99999999965396569e-1,0.0
1.00000000000000002e-3,9.99999999893053326e-1,-1.99418543002283111e-12
1.20000000000000011e-3,9.99999999779866089e-1,-8.13148815584092573e-12
1.39999999999999999e-3,9.99999999622759539e-1,-2.07115997952709355e-11
1.60000000000000008e-3,9.99999999418687224e-1,-4.21812351311566e-11
1.80000000000000017e-3,9.99999999164632669e-1,-7.51304267873163784e-11
2.00000000000000004e-3,9.99999998857609373e-1,-1.22288802954181935e-10
2.20000000000000013e-3,9.99999998494659703e-1,-1.86521912507980466e-10
2.40000000000000022e-3,9.9999999807285378e-1,-2.70827621091865257e-10
2.60000000000000031e-3,9.9999999758929059e-1,-3.78332657421069986e-10
2.79999999999999997e-3,9.99999997041096877e-1,-5.12289108180518182e-10
3.00000000000000006e-3,9.99999996425429361e-1,-6.76071006247456971e-10
3.20000000000000015e-3,9.99999995739471403e-1,-8.73170851288652844e-10
3.40000000000000024e-3,9.99999994980433016e-1,-1.10719635162072965e-9
3.60000000000000034e-3,9.99999994145554183e-1,-1.38186719282527488e-9
3.79999999999999999e-3,9.99999993232099316e-1,-1.7010116649751434e-9
4.00000000000000008e-3,9.9999999223736169e-1,-2.0685636381992301e-9
4.20000000000000061e-3,9.99999991158662338e-1,-2.48855932262206225e-9
4.40000000000000027e-3,9.99999989993346716e-1,-2.9651341273555264e-9
4.59999999999999992e-3,9.99999988738786927e-1,-3.50251974542967734e-9
4.80000000000000045e-3,9.99999987392382828e-1,-4.10504113412170574e-9
5.0000000000000001e-3,9.99999985951559811e-1,-4.77711348006056498e-9
5.20000000000000063e-3,9.99999984413768805e-1,-5.52323931737254093e-9
5.40000000000000029e-3,9.99999982776486274e-1,-6.34800568515350858e-9
5.59999999999999994e-3,9.99999981037214214e-1,-7.25608131590967595e-9
5.80000000000000047e-3,9.99999979193479049e-1,-8.25221384670928648e-9
6.00000000000000012e-3,9.99999977242834959e-1,-9.34122714086028902e-9
6.20000000000000065e-3,9.99999975182858325e-1,-1.05280184309600494e-8
6.40000000000000031e-3,9.99999973011151067e-1,-1.18175558374592688e-8
6.59999999999999996e-3,9.99999970725340637e-1,-1.32148756984228789e-8
6.80000000000000049e-3,9.99999968323077804e-1,-1.47250799528349144e-8
7.00000000000000015e-3,9.9999996580203665e-1,-1.63533336648794727e-8
7.20000000000000067e-3,9.99999963159916794e-1,-1.81048625836116643e-8
7.40000000000000033e-3,9.99999960394441167e-1,-1.99849506017282127e-8
7.59999999999999998e-3,9.99999957503356018e-1,-2.19989373787005365e-8
7.80000000000000051e-3,9.99999954484432019e-1,-2.41522159744087287e-8
8.00000000000000017e-3,9.99999951335460935e-1,-2.6450230477252554e-8
8.20000000000000069e-3,9.99999948054260068e-1,-2.88984738108545491e-8
8.40000000000000122e-3,9.99999944638667815e-1,-3.15024853493738324e-8
8.60000000000000001e-3,9.99999941086545885e-1,-3.42678487917385081e-8
8.80000000000000053e-3,9.99999937395779304e-1,-3.72001899398281194e-8
9.00000000000000105e-3,9.9999993356427419e-1,-4.03051745018374067e-8
9.19999999999999984e-3,9.99999929589958869e-1,-4.35885060565686343e-8
9.40000000000000037e-3,9.99999925470784978e-1,-4.7055923976832051e-8
9.60000000000000089e-3,9.99999921204726361e-1,-5.07132013125411617e-8
9.79999999999999968e-3,9.99999916789776844e-1,-5.45661427460523719e-8
1.00000000000000002e-2,9.99999912223951348e-1,-5.86205827229245268e-8
1.02000000000000007e-2,9.99999907505289221e-1,-6.28823835321016306e-8
1.04000000000000013e-2,9.99999902631848681e-1,-6.73574332242484867e-8
1.06e-2,9.99999897601709042e-1,-7.20516438581633879e-8
1.08000000000000006e-2,9.99999892412970715e-1,-7.69709496634561535e-8
1.10000000000000011e-2,9.999998870637552e-1,-8.21213052005680507e-8
1.11999999999999999e-2,9.99999881552205094e-1,-8.75086835662305745e-8
1.14000000000000004e-2,9.9999987587648298e-1,-9.31390746038963632e-8
1.16000000000000009e-2,9.99999870034771421e-1,-9.90184832151306179e-8
1.17999999999999997e-2,9.99999864025272966e-1,-1.05152927682827896e-7
1.20000000000000002e-2,9.9999985784621015e-1,-1.11548438006181727e-7
1.22000000000000008e-2,9.99999851495826597e-1,-1.18211054279325098e-7
1.24000000000000013e-2,9.999998449723837e-1,-1.25146825001210651e-7
1.26000000000000001e-2,9.99999838274163944e-1,-1.32361805621554244e-7
1.28000000000000006e-2,9.99999831399467576e-1,-1.3986205689614498e-7
1.30000000000000011e-2,9.9999982434661594e-1,-1.47653643461802186e-7
1.31999999999999999e-2,9.99999817113948142e-1,-1.55742632236470749e-7
1.34000000000000005e-2,9.99999809699822162e-1,-1.64135091030548448e-7
1.3600000000000001e-2,9.99999802102615964e-1,-1.72837087110999935e-7
1.38000000000000015e-2,9.99999794320725277e-1,-1.81854685734890608e-7
1.40000000000000003e-2,9.99999786352563591e-1,-1.91193948796734418e-7
1.42000000000000008e-2,9.99999778196564382e-1,-2.00860933524345062e-7
1.44000000000000013e-2,9.99999769851177778e-1,-2.10861691046702713e-7
1.46000000000000001e-2,9.99999761314873892e-1,-2.21202265187360729e-7
1.48000000000000007e-2,9.9999975258613838e-1,-2.31888691056811886e-7
1.50000000000000012e-2,9.99999743663476881e-1,-2.42926993950185271e-7
1.52e-2,9.99999734545411689e-1,-2.5432318797875656e-7
1.54000000000000005e-2,9.99999725230482861e-1,-2.66083274926439986e-7
1.5600000000000001e-2,9.99999715717247106e-1,-2.78213243040648118e-7
1.58000000000000015e-2,9.99999706004278899e-1,-2.90719065926325126e-7
1.60000000000000003e-2,9.99999696090171586e-1,-3.03606701365990973e-7
1.61999999999999991e-2,9.99999685973531838e-1,-3.16882090114738898e-7
1.64000000000000014e-2,9.99999675652986308e-1,-3.30551155014443195e-7
1.66000000000000002e-2,9.99999665127178305e-1,-3.4461979974351804e-7
1.68000000000000024e-2,9.99999654394765569e-1,-3.59093907782559717e-7
1.70000000000000012e-2,9.99999643454423603e-1,-3.73979341497314811e-7
1.72e-2,9.99999632304845676e-1,-3.8928194107365497e-7
1.74000000000000023e-2,9.99999620944738377e-1,-4.0500752345037029e-7
1.76000000000000011e-2,9.99999609372826059e-1,-4.21161881521775936e-7
1.77999999999999999e-2,9.99999597587849731e-1,-4.37750783095022162e-7
1.80000000000000021e-2,9.99999585588564832e-1,-4.54779969933051519e-7
1.82000000000000009e-2,9.99999573373744566e-1,-4.72255156938182824e-7
1.83999999999999997e-2,9.99999560942175458e-1,-4.90182031154735577e-7
1.86000000000000019e-2,9.99999548292660689e-1,-5.08566251032819099e-7
1.88000000000000007e-2,9.99999535424017871e-1,-5.27413445518254553e-7
1.89999999999999995e-2,9.9999952233508127e-1,-5.46729213290702955e-7
1.92000000000000018e-2,9.99999509024699584e-1,-5.66519121868299835e-7
1.94000000000000006e-2,9.99999495491737056e-1,-5.86788706876384909e-7
1.95999999999999994e-2,9.9999948173507236e-1,-6.07543471230421699e-7
1.98000000000000016e-2,9.99999467753599713e-1,-6.28788884426141464e-7
2.00000000000000004e-2,9.99999453546226658e-1,-6.50530381759680499e-7
2.02000000000000027e-2,9.99999439111876276e-1,-6.72773363686540299e-7
2.04000000000000015e-2,9.99999424449486085e-1,-6.95523195077776596e-7
2.06000000000000003e-2,9.99999409558008034e-1,-7.18785204534653244e-7
2.08000000000000025e-2,9.99999394436408506e-1,-7.42564683721096083e-7
2.10000000000000013e-2,9.99999379083667206e-1,-7.66866886713752383e-7
2.12000000000000001e-2,9.99999363498778271e-1,-7.91697029401465663e-7
2.14000000000000024e-2,9.99999347680750272e-1,-8.1706028885360923e-7
2.16000000000000011e-2,9.99999331628603993e-1,-8.42961802697678219e-7
2.17999999999999999e-2,9.99999315341376871e-1,-8.69406668618021322e-7
2.20000000000000022e-2,9.99999298818117444e-1,-8.96399943630352084e-7
2.2200000000000001e-2,9.99999282057887573e-1,-9.23946643662664431e-7
2.23999999999999998e-2,9.99999265059764664e-1,-9.52051743030939706e-7
2.2600000000000002e-2,9.99999247822838333e-1,-9.80720173794966681e-7
2.28000000000000008e-2,9.9999923034621041e-1,-1.00995682530766867e-6
2.29999999999999996e-2,9.99999212628997158e-1,-1.03976654377965386e-6
2.32000000000000019e-2,9.99999194670327052e-1,-1.07015413173085464e-6
2.34000000000000007e-2,9.99999176469342999e-1,-1.10112434755459805e-6
2.35999999999999995e-2,9.99999158025199009e-1,-1.13268190499281131e-6
2.38000000000000017e-2,9.99999139337061305e-1,-1.16483147277939279e-6
2.40000000000000005e-2,9.99999120404110542e-1,-1.19757767425777699e-6
2.42000000000000028e-2,9.99999101225539588e-1,-1.23092508686105016e-6
2.44000000000000015e-2,9.99999081800552414e-1,-1.26487824172024536e-6
2.46000000000000003e-2,9.99999062128366312e-1,-1.2994416233672772e-6
2.48000000000000026e-2,9.99999042208209676e-1,-1.33461966929145111e-6
2.50000000000000014e-2,9.99999022039325336e-1,-1.37041676965525473e-6
2.52000000000000002e-2,9.9999900162096611e-1,-1.40683726680761976e-6
2.54000000000000024e-2,9.99998980952397032e-1,-1.44388545506099836e-6
2.56000000000000012e-2,9.99998960032895345e-1,-1.48156558036116914e-6
