Frequency (Hz),Magnitude (dB),Phase (deg)
0.15,-29.6813494691383,297.54587566132
0.151390727194586,-29.5757587128816,297.317134714305
0.152794348536703,-29.4702640126309,297.089311708672
0.15421098357463,-29.3648594562971,296.862404118042
0.155640752965037,-29.2595390760329,296.636408720747
0.157083778483265,-29.1542968490408,296.41132158978
0.158540183033698,-29.0491266984003,296.18713808264
0.160010090660229,-28.9440224939131,295.963852831075
0.161493626556824,-28.8389780529709,295.741459730713
0.16299091707819,-28.7339871414439,295.519951930585
0.16450208975053,-28.6290434745934,295.299321822538
0.166027273282412,-28.5241407180102,295.079561030533
0.167566597575724,-28.419272488578,294.860660399834
0.169120193736742,-28.314432355466,294.642609986079
0.170688194087297,-28.2096138411508,294.425399044243
0.172270732176043,-28.1048104224689,294.209016017491
0.173867942789833,-28.0000155317029,293.993448525913
0.175479961965196,-27.895222557701,293.778683355162
0.177106926999928,-27.7904248470333,293.564706444981
0.178748976464784,-27.6856157051853,293.351502877628
0.180406250215277,-27.5807883977909,293.139056866204
0.182078889403594,-27.475936151906,292.927351742888
0.183767036490618,-27.3710521573257,292.716369947084
0.185470835258057,-27.2661295679441,292.506093013481
0.187190430820697,-27.1611615031619,292.29650156004
0.188925969638754,-27.0561410493405,292.087575275911
0.190677599530354,-26.9510612613054,291.879292909279
0.192445469684122,-26.8459151639006,291.671632255173
0.194229730671886,-26.7406957535959,291.464570143204
0.196030534461502,-26.635396000147,291.258082425291
0.197848034429801,-26.5300088483127,291.05214396334
0.199682385375646,-26.4245272196274,290.846728616917
0.201533743533124,-26.3189440142337,290.641809230914
0.203402266584845,-26.2132521127733,290.437357623217
0.205288113675378,-26.1074443783406,290.233344572396
0.207191445424801,-26.001513658498,290.02973980542
0.209112423942387,-25.8954527873546,289.826511985426
0.211051212840403,-25.789254587711,289.623628699535
0.213007977248052,-25.6829118732694,289.421056446746
0.214982883825536,-25.5764174509108,289.218760625919
0.216976100778247,-25.4697641230407,289.016705523856
0.218987797871097,-25.3629446900037,288.814854303503
0.221018146442975,-25.2559519525678,288.613168992288
0.223067319421343,-25.1487787144794,288.41161047061
0.22513549133696,-25.0414177850899,288.210138460498
0.227222838338752,-24.9338619820531,288.008711514454
0.22932953820881,-24.8261041340963,287.80728700451
0.231455770377535,-24.7181370838631,287.605821111494
0.23360171593892,-24.6099536908295,287.404268814559
0.235767557665974,-24.501546834293,287.202583880952
0.237953480026289,-24.3929094164355,287.000718856088
0.240159669197748,-24.2840343654587,286.798625053903
0.242386313084388,-24.1749146387931,286.596252547548
0.2446336013324,-24.06554322638,286.393550160415
0.246901725346283,-23.9559131540254,286.190465457529
0.249190878305144,-23.846017486827,285.986944737327
0.251501255179155,-23.735849332672,285.782933023841
0.253833052746156,-23.625401845806,285.578374059308
0.256186469608414,-23.5146682304723,285.373210297226
0.258561706209543,-23.4036417446201,285.167382895892
0.26095896485157,-23.2923157036808,284.960831712418
0.26337844971217,-23.180683484412,284.753495297273
0.265820366862054,-23.0687385288066,284.545310889357
0.268284924282519,-22.9564743480669,284.336214411636
0.270772331883166,-22.8438845266415,284.126140467361
0.273282801519775,-22.7309627263233,283.915022336889
0.275816547012349,-22.6177026904078,283.702791975134
0.278373784163328,-22.5040982479086,283.489380009664
0.280954730775966,-22.3901433178289,283.274715739476
0.283559606672883,-22.2758319134873,283.058727134468
0.28618863371479,-22.1611581468941,282.841340835622
0.28884203581938,-22.0461162331775,282.62248215594
0.291520038980403,-21.9307004950567,282.402075082139
0.294222871286915,-21.8149053673581,282.180042277133
0.2969507629427,-21.698725401574,281.956305083338
0.299703946285883,-21.5821552704589,281.730783526796
0.302482655808712,-21.4651897726616,281.503396322179
0.305287128177537,-21.3478238373899,281.274060878657
0.30811760225296,-21.2300525291034,281.042693306686
0.310974319110185,-21.1118710522327,280.809208425721
0.313857522059547,-20.9932747559195,280.573519772892
0.316767456667237,-20.8742591387761,280.33553961265
0.319704370776216,-20.7548198536572,280.095178947423
0.322668514527325,-20.6349527124433,279.852347529308
0.32566014038059,-20.5146536908283,279.606953872808
0.328679503136722,-20.3939189331091,279.358905268655
0.331726859958823,-20.2727447569706,279.108107798738
0.334802470394285,-20.1511276582628,278.854466352165
0.337906596396897,-20.0290643157625,278.597884642483
0.341039502349158,-19.9065515959173,278.338265226084
0.34420145508479,-19.7835865575622,278.075509521824
0.347392723911473,-19.6601664566067,277.809517831877
