Frequency (Hz),Magnitude (dB),Phase (deg)
0.15,-26.5086322330164,243.72408659948
0.151390727194586,-26.4356918745211,243.502808021324
0.152794348536703,-26.3628377222547,243.279942910089
0.15421098357463,-26.2900701415695,243.055484014624
0.155640752965037,-26.2173894807754,242.829424062764
0.157083778483265,-26.1447960706829,242.601755759168
0.158540183033698,-26.0722902241489,242.372471783091
0.160010090660229,-25.9998722356268,242.141564786086
0.161493626556824,-25.9275423807199,241.909027389644
0.16299091707819,-25.8553009157398,241.674852182771
0.16450208975053,-25.7831480772696,241.43903171951
0.166027273282412,-25.7110840817321,241.201558516397
0.167566597575724,-25.6391091249644,240.962425049879
0.169120193736742,-25.5672233817978,240.72162375367
0.170688194087297,-25.4954270056446,240.479147016069
0.172270732176043,-25.4237201280914,240.234987177233
0.173867942789833,-25.3521028584991,239.989136526421
0.175479961965196,-25.2805752836112,239.741587299192
0.177106926999928,-25.2091374671682,239.49233167459
0.178748976464784,-25.137789449531,239.241361772302
0.180406250215277,-25.0665312473115,238.988669649794
0.182078889403594,-24.9953628530111,238.734247299446
0.183767036490618,-24.924284234668,238.478086645678
0.185470835258057,-24.8532953355119,238.220179542076
0.187190430820697,-24.782396073627,237.960517768529
0.188925969638754,-24.7115863416239,237.699093028381
0.190677599530354,-24.6408660063179,237.435896945606
0.192445469684122,-24.5702349084165,237.170921062011
0.194229730671886,-24.4996928622138,236.904156834476
0.196030534461502,-24.4292396552923,236.635595632246
0.197848034429801,-24.3588750482316,236.365228734263
0.199682385375646,-24.2885987743232,236.093047326575
0.201533743533124,-24.218410539292,235.819042499803
0.203402266584845,-24.1483100210226,235.543205246694
0.205288113675378,-24.0782968692901,235.265526459759
0.207191445424801,-24.0083707054954,234.985996929005
0.209112423942387,-23.9385311224033,234.704607339783
0.211051212840403,-23.8687776838826,234.421348270737
0.213007977248052,-23.7991099246475,234.136210191889
0.214982883825536,-23.7295273499992,233.849183462853
0.216976100778247,-23.6600294355654,233.560258331195
0.218987797871097,-23.5906156270385,233.269424930944
0.221018146442975,-23.5212853399088,232.976673281273
0.223067319421343,-23.4520379591926,232.681993285341
0.22513549133696,-23.3828728391527,232.385374729333
0.227222838338752,-23.3137893030107,232.086807281679
0.22932953820881,-23.2447866426472,231.786280492484
0.231455770377535,-23.1758641182902,231.483783793169
0.23360171593892,-23.1070209581881,231.179306496329
0.235767557665974,-23.0382563582647,230.872837795828
0.237953480026289,-22.9695694817557,230.564366767128
0.240159669197748,-22.9009594588219,230.253882367877
0.242386313084388,-22.8324253861378,229.941373438743
0.2446336013324,-22.7639663264528,229.62682870453
0.246901725346283,-22.6955813081211,229.310236775553
0.249190878305144,-22.6272693245983,228.991586149315
0.251501255179155,-22.5590293339009,228.67086521246
0.253833052746156,-22.4908602580249,228.348062243041
0.256186469608414,-22.4227609823212,228.023165413078
0.258561706209543,-22.3547303548229,227.696162791448
0.26095896485157,-22.286767185521,227.367042347082
0.26337844971217,-22.2188702455851,227.035791952497
0.265820366862054,-22.1510382665239,226.702399387656
0.268284924282519,-22.0832699392819,226.366852344169
0.270772331883166,-22.0155639132677,226.029138429834
0.273282801519775,-21.947918795309,225.689245173528
0.275816547012349,-21.8803331485292,225.347160030448
0.278373784163328,-21.8128054911418,225.002870387702
0.280954730775966,-21.7453342951554,224.656363570263
0.283559606672883,-21.677917984986,224.307626847279
0.28618863371479,-21.6105549359691,223.956647438738
0.28884203581938,-21.5432434727679,223.603412522504
0.291520038980403,-21.4759818676689,223.247909241704
0.294222871286915,-21.4087683387617,222.890124712484
0.2969507629427,-21.341601047994,222.530046032113
0.299703946285883,-21.2744780990972,222.16766028746
0.302482655808712,-21.2073975353742,221.802954563808
0.305287128177537,-21.1403573373432,221.435915954033
0.30811760225296,-21.0733554202298,221.066531568123
0.310974319110185,-21.0063896313005,220.694788543035
0.313857522059547,-20.9394577470281,220.320674052902
0.316767456667237,-20.8725574700833,219.944175319553
0.319704370776216,-20.8056864261418,219.565279623364
0.322668514527325,-20.7388421604992,219.183974314424
0.32566014038059,-20.6720221344861,218.800246823999
0.328679503136722,-20.6052237216703,218.414084676296
0.331726859958823,-20.5384442038413,218.02547550051
0.334802470394285,-20.4716807667625,217.634407043143
0.337906596396897,-20.4049304956846,217.240867180578
0.341039502349158,-20.3381903706059,216.844843931908
0.34420145508479,-20.2714572612714,216.446325471987
0.347392723911473,-20.2047279218968,216.045300144706
0.350613580633772,-20.1379989856066,215.641756476459
0.353864299576295,-20.0712669585728,215.235683189803
0.357145157607054,-20.0045282138416,214.827069217271
0.360456434161045,-19.9377789848349,214.415903715337
0.363798411264053,-19.8710153585102,214.002176078504
0.367171373556666,-19.8042332681674,213.585875953493
