time,vSI,vs
0.0,1.0,0.0
2.0000000000000001e-4,1.0,0.0
4.00000000000000019e-4,9.99999999999999889e-1,0.0
6.00000000000000056e-4,1.0,-7.99772775772760299e-18
8.00000000000000038e-4,1.0,-7.89982821432068313e-18
1.00000000000000002e-3,1.0,-7.80278609533009532e-18
1.20000000000000011e-3,1.0,-7.70659488693078652e-18
1.39999999999999999e-3,1.0,-7.61124812119344934e-18
1.60000000000000008e-3,1.0,-7.5167393757750066e-18
1.80000000000000017e-3,1.0,-7.42306227361109275e-18
2.00000000000000004e-3,1.0,-7.33021048261057822e-18
2.20000000000000013e-3,1.0,-7.23817771535209526e-18
2.40000000000000022e-3,1.0,-7.14695772878254981e-18
2.60000000000000031e-3,1.0,-7.05654432391762396e-18
2.79999999999999997e-3,1.0,-6.9669313455442321e-18
3.00000000000000006e-3,1.0,-6.87811268192496079e-18
3.20000000000000015e-3,1.0,-6.79008226450440912e-18
3.40000000000000024e-3,1.0,-6.70283406761750122e-18
3.60000000000000034e-3,1.0,-6.61636210819969237e-18
3.79999999999999999e-3,1.0,-6.53066044549908174e-18
4.00000000000000008e-3,1.0,-6.44572318079042567e-18
4.20000000000000061e-3,1.0,-6.36154445709102911e-18
4.40000000000000027e-3,1.0,-6.27811845887850521e-18
4.59999999999999992e-3,1.0,-6.19543941181038456e-18
4.80000000000000045e-3,1.0,-6.11350158244558105e-18
5.0000000000000001e-3,1.0,-6.0322992779676835e-18
5.20000000000000063e-3,1.0,-5.95182684591006845e-18
5.40000000000000029e-3,1.0,-5.87207867388281637e-18
5.59999999999999994e-3,1.0,-5.79304918930144214e-18
5.80000000000000047e-3,1.0,-5.71473285911738966e-18
6.00000000000000012e-3,1.0,-5.63712418955031755e-18
6.20000000000000065e-3,1.0,-5.56021772582213441e-18
6.40000000000000031e-3,1.0,-5.48400805189279356e-18
6.59999999999999996e-3,1.0,-5.4084897901978266e-18
6.80000000000000049e-3,1.0,-5.33365760138760474e-18
7.00000000000000015e-3,1.0,-5.25950618406831291e-18
7.20000000000000067e-3,1.0,-5.18603027454463462e-18
7.40000000000000033e-3,1.0,-5.1132246465641403e-18
7.59999999999999998e-3,1.0,-5.041084111063338e-18
7.80000000000000051e-3,1.0,-4.9696035159154174e-18
8.00000000000000017e-3,1.0,-4.89877774567965319e-18
8.20000000000000069e-3,1.0,-4.82860172135244244e-18
8.40000000000000122e-3,1.0,-4.75907040012001672e-18
8.60000000000000001e-3,1.0,-4.69017877511274815e-18
8.80000000000000053e-3,1.0,-4.62192187516110091e-18
9.00000000000000105e-3,1.0,-4.5542947645531829e-18
9.19999999999999984e-3,1.0,-4.48729254279388892e-18
9.40000000000000037e-3,1.0,-4.42091034436564933e-18
9.60000000000000089e-3,1.0,-4.35514333849074717e-18
9.79999999999999968e-3,1.0,-4.28998672889519611e-18
1.00000000000000002e-2,1.0,-4.2254357535741937e-18
1.02000000000000007e-2,1.0,-4.16148568455910933e-18
1.04000000000000013e-2,1.0,-4.09813182768601284e-18
1.06e-2,1.0,-4.03536952236573005e-18
1.08000000000000006e-2,1.0,-3.97319414135542441e-18
1.10000000000000011e-2,1.0,-3.91160109053167462e-18
1.11999999999999999e-2,1.0,-3.85058580866506002e-18
1.14000000000000004e-2,1.0,-3.79014376719622651e-18
1.16000000000000009e-2,1.0,-3.73027047001344011e-18
1.17999999999999997e-2,1.0,-3.67096145323160727e-18
1.20000000000000002e-2,1.0,-3.61221228497274511e-18
1.22000000000000008e-2,1.0,-3.55401856514791834e-18
1.24000000000000013e-2,1.0,-3.49637592524060602e-18
1.26000000000000001e-2,1.0,-3.43928002809150247e-18
1.28000000000000006e-2,1.0,-3.38272656768474395e-18
1.30000000000000011e-2,1.0,-3.326711268935543e-18
1.31999999999999999e-2,1.0,-3.27122988747922931e-18
1.34000000000000005e-2,1.0,-3.21627820946168821e-18
1.3600000000000001e-2,1.0,-3.16185205133117953e-18
1.38000000000000015e-2,1.0,-3.1079472596315378e-18
1.40000000000000003e-2,1.0,-3.05455971079674063e-18
1.42000000000000008e-2,1.0,-3.00168531094682487e-18
1.44000000000000013e-2,1.0,-2.94931999568517702e-18
1.46000000000000001e-2,1.0,-2.89745972989713765e-18
1.48000000000000007e-2,1.0,-2.84610050754995542e-18
1.50000000000000012e-2,1.0,-2.795238351494065e-18
1.52e-2,1.0,-2.74486931326566692e-18
1.54000000000000005e-2,1.0,-2.69498947289063478e-18
1.5600000000000001e-2,1.0,-2.64559493868970208e-18
1.58000000000000015e-2,1.0,-2.59668184708495086e-18
1.60000000000000003e-2,1.0,-2.54824636240757547e-18
1.61999999999999991e-2,1.0,-2.5002846767069262e-18
1.64000000000000014e-2,1.0,-2.4527930095608063e-18
1.66000000000000002e-2,1.0,-2.40576760788704678e-18
1.68000000000000024e-2,1.0,-2.35920474575630131e-18
1.70000000000000012e-2,1.0,-2.31310072420610929e-18
1.72e-2,1.0,-2.26745187105617452e-18
1.74000000000000023e-2,1.0,-2.22225454072487103e-18
1.76000000000000011e-2,1.0,-2.17750511404697041e-18
1.77999999999999999e-2,1.0,-2.13319999809257549e-18
1.80000000000000021e-2,1.0,-2.08933562598725352e-18
1.82000000000000009e-2,1.0,-2.04590845673335876e-18
1.83999999999999997e-2,1.0,-2.00291497503255461e-18
1.86000000000000019e-2,1.0,-1.96035169110949314e-18
1.88000000000000007e-2,1.0,-1.91821514053667722e-18
1.89999999999999995e-2,1.0,-1.876501884060487e-18
1.92000000000000018e-2,1.0,-1.83520850742835316e-18
1.94000000000000006e-2,1.0,-1.79433162121707793e-18
1.95999999999999994e-2,1.0,-1.75386786066230441e-18
1.98000000000000016e-2,1.0,-1.71381388548910718e-18
2.00000000000000004e-2,1.0,-1.67416637974371603e-18
2.02000000000000027e-2,1.0,-1.63492205162635243e-18
2.04000000000000015e-2,1.0,-1.59607763332518238e-18
2.06000000000000003e-2,1.0,-1.5576298808513607e-18
2.08000000000000025e-2,1.0,-1.51957557387518867e-18
2.10000000000000013e-2,1.0,-1.48191151556334239e-18
2.12000000000000001e-2,1.0,-1.44463453241719901e-18
2.14000000000000024e-2,1.0,-1.4077414741122211e-18
2.16000000000000011e-2,1.0,-1.37122921333842575e-18
2.17999999999999999e-2,1.0,-1.33509464564190265e-18
2.20000000000000022e-2,1.0,-1.29933468926739125e-18
2.2200000000000001e-2,1.0,-1.26394628500189956e-18
2.23999999999999998e-2,1.0,-1.22892639601937282e-18
2.2600000000000002e-2,1.0,-1.19427200772638785e-18
2.28000000000000008e-2,1.0,-1.15998012760887343e-18
2.29999999999999996e-2,1.0,-1.12604778507985618e-18
2.32000000000000019e-2,1.0,-1.09247203132821759e-18
2.34000000000000007e-2,1.0,-1.05924993916845458e-18
2.35999999999999995e-2,1.0,-1.02637860289144515e-18
2.38000000000000017e-2,1.0,-9.9385513811620241e-19
2.40000000000000005e-2,1.0,-9.61676681642626863e-19
2.42000000000000028e-2,1.0,-9.29840391305217948e-19
2.44000000000000015e-2,1.0,-8.98343445827788629e-19
2.46000000000000003e-2,1.0,-8.67183044679123496e-19
2.48000000000000026e-2,1.0,-8.36356407929610038e-19
2.50000000000000014e-2,1.0,-8.05860776108825747e-19
2.52000000000000002e-2,1.0,-7.75693410064067976e-19
2.54000000000000024e-2,1.0,-7.4585159081983732e-19
2.56000000000000012e-2,1.0,-7.16332619438244477e-19
2.58e-2,1.0,-6.87133816880360628e-19
2.60000000000000023e-2,1.0,-6.58252523868485904e-19
2.62000000000000011e-2,1.0,-6.29686100749335753e-19
2.63999999999999999e-2,1.0,-6.01431927358142894e-19
2.66000000000000021e-2,1.0,-5.73487402883665804e-19
2.68000000000000009e-2,1.0,-5.45849945734096424e-19
2.69999999999999997e-2,1.0,-5.18516993403866314e-19
2.7200000000000002e-2,1.0,-4.9148600234133314e-19
2.74000000000000007e-2,1.0,-4.64754447817365238e-19
2.7600000000000003e-2,1.0,-4.3831982379478763e-19
2.78000000000000018e-2,1.0,-4.12179642798711864e-19
2.80000000000000006e-2,1.0,-3.86331435787726541e-19
2.82000000000000028e-2,1.0,-3.60772752025948738e-19
2.84000000000000016e-2,1.0,-3.35501158955932275e-19
2.86000000000000004e-2,1.0,-3.10514242072421469e-19
2.88000000000000027e-2,1.0,-2.85809604796954798e-19
2.90000000000000015e-2,1.0,-2.61384868353299793e-19
2.92000000000000003e-2,1.0,-2.37237671643724947e-19
2.94000000000000025e-2,1.0,-2.13365671126100923e-19
2.96000000000000013e-2,1.0,-1.89766540691815855e-19
2.98000000000000001e-2,1.0,-1.66437971544515719e-19
3.00000000000000024e-2,1.0,-1.43377672079650316e-19
3.02000000000000011e-2,1.0,-1.20583367764830075e-19
3.03999999999999999e-2,1.0,-9.80528010209771124e-20
3.06000000000000022e-2,1.0,-7.57837311042780457e-20
3.0800000000000001e-2,1.0,-5.37739339889224058e-20
3.09999999999999998e-2,1.0,-3.20212022506281701e-20
3.1200000000000002e-2,1.0,-1.05233449509494175e-20
3.14000000000000043e-2,1.0,1.07218124776481488e-20
3.16000000000000031e-2,1.0,3.17164283459328315e-20
3.18000000000000019e-2,1.0,5.24626448212947165e-20
3.20000000000000007e-2,1.0,7.29625880403705901e-20
3.21999999999999995e-2,1.0,9.32183682209171641e-20
3.23999999999999982e-2,1.0,1.13232079772928182e-19
