time,vSI,vs
0.0,1.0,0.0
1.00000000000000002e-3,1.0,0.0
2.00000000000000004e-3,1.00000000000000022,0.0
3.00000000000000006e-3,1.00000000000000044,0.0
4.00000000000000008e-3,1.00000000000000089,0.0
5.0000000000000001e-3,1.00000000000000111,1.20687682953065056e-13
6.00000000000000012e-3,1.00000000000000111,2.37780240097810805e-13
7.00000000000000015e-3,1.00000000000000111,2.30681398948207775e-13
8.00000000000000017e-3,1.00000000000000133,2.23763253896641733e-13
9.00000000000000105e-3,1.00000000000000155,3.37709285081090714e-13
1.00000000000000002e-2,1.00000000000000178,4.48232573641001951e-13
1.10000000000000011e-2,1.000000000000002,5.55420510684817035e-13
1.20000000000000002e-2,1.00000000000000222,6.59358451291233524e-13
1.30000000000000011e-2,1.00000000000000244,7.60129759472122814e-13
1.40000000000000003e-2,1.00000000000000266,8.57815852176804745e-13
1.50000000000000012e-2,1.00000000000000289,8.9215240088108676e-13
1.60000000000000003e-2,1.00000000000000311,9.8570230254394737e-13
1.70000000000000012e-2,1.00000000000000333,1.07635427804869491e-12
1.80000000000000021e-2,1.00000000000000355,1.1641834400716748e-12
1.89999999999999995e-2,1.00000000000000377,1.24926313712365126e-12
2.00000000000000004e-2,1.000000000000004,1.33166499270596403e-12
2.10000000000000013e-2,1.00000000000000422,1.41145894362895993e-12
2.20000000000000022e-2,1.00000000000000444,1.4887132775101768e-12
2.29999999999999996e-2,1.00000000000000466,1.56349466946936956e-12
2.40000000000000005e-2,1.00000000000000488,1.6358682180371601e-12
2.50000000000000014e-2,1.00000000000000511,1.70589748029370428e-12
2.60000000000000023e-2,1.00000000000000533,1.77364450625347278e-12
2.69999999999999997e-2,1.00000000000000555,1.83916987251188197e-12
2.80000000000000006e-2,1.00000000000000577,1.90253271516921604e-12
2.90000000000000015e-2,1.000000000000006,1.96379076204694099e-12
3.00000000000000024e-2,1.00000000000000622,1.9626565227346787e-12
3.09999999999999998e-2,1.00000000000000644,2.02167024824571062e-12
3.20000000000000007e-2,1.00000000000000666,2.07869851839288393e-12
3.30000000000000016e-2,1.00000000000000688,2.13379479882317956e-12
3.40000000000000024e-2,1.00000000000000711,2.18701127445133643e-12
3.50000000000000033e-2,1.00000000000000733,2.23839887822997913e-12
3.60000000000000042e-2,1.00000000000000755,2.28800731929922079e-12
3.70000000000000051e-2,1.00000000000000777,2.33588511052876e-12
3.79999999999999991e-2,1.00000000000000799,2.38207959546519157e-12
3.89999999999999999e-2,1.00000000000000822,2.42663697469705128e-12
4.00000000000000008e-2,1.00000000000000844,2.46960233164979302e-12
4.10000000000000017e-2,1.00000000000000866,2.51101965782268273e-12
4.20000000000000026e-2,1.00000000000000888,2.55093187747935008e-12
4.30000000000000035e-2,1.0000000000000091,2.58938087180346444e-12
4.40000000000000044e-2,1.00000000000000933,2.62640750253080925e-12
4.50000000000000053e-2,1.00000000000000955,2.66205163506875229e-12
4.59999999999999992e-2,1.00000000000000977,2.69635216111392272e-12
4.70000000000000001e-2,1.00000000000000999,2.6690031793021335e-12
4.8000000000000001e-2,1.00000000000001021,2.7025269456642323e-12
4.90000000000000019e-2,1.00000000000001044,2.73477245199574516e-12
5.00000000000000028e-2,1.00000000000001066,2.76577597407456549e-12
5.10000000000000037e-2,1.00000000000001088,2.79557289646317808e-12
5.20000000000000046e-2,1.0000000000000111,2.82419773282906287e-12
5.30000000000000054e-2,1.00000000000001132,2.85168414582250748e-12
5.39999999999999994e-2,1.00000000000001155,2.87806496652114306e-12
5.50000000000000003e-2,1.00000000000001177,2.90337221345041078e-12
5.60000000000000012e-2,1.00000000000001199,2.92763711118885752e-12
5.70000000000000021e-2,1.00000000000001221,2.95089010856710659e-12
5.80000000000000029e-2,1.00000000000001243,2.973160896469045e-12
5.90000000000000038e-2,1.00000000000001243,2.99447842524367606e-12
6.00000000000000047e-2,1.00000000000001243,2.8941832387828254e-12
6.10000000000000056e-2,1.00000000000001243,2.79658566584639857e-12
6.19999999999999996e-2,1.00000000000001243,2.70162112541213486e-12
6.30000000000000004e-2,1.00000000000001243,2.60922648667533665e-12
6.40000000000000013e-2,1.00000000000001243,2.5193400377773677e-12
6.50000000000000022e-2,1.00000000000001243,2.43190145518984364e-12
6.60000000000000031e-2,1.00000000000001243,2.34685177374103561e-12
6.7000000000000004e-2,1.00000000000001243,2.26413335727129834e-12
6.80000000000000049e-2,1.00000000000001243,2.18368986990458791e-12
6.90000000000000058e-2,1.00000000000001243,2.10546624792340646e-12
7.00000000000000067e-2,1.00000000000001243,2.02940867223475175e-12
7.10000000000000075e-2,1.00000000000001243,1.9554645414149255e-12
7.20000000000000084e-2,1.00000000000001243,1.88358244532127434e-12
7.30000000000000093e-2,1.00000000000001243,1.81371213925919988e-12
7.40000000000000102e-2,1.00000000000001243,1.74580451869299207e-12
7.49999999999999972e-2,1.00000000000001243,1.67981159448928924e-12
7.59999999999999981e-2,1.00000000000001243,1.61568646868218264e-12
7.6999999999999999e-2,1.00000000000001243,1.55338331074921436e-12
7.79999999999999999e-2,1.00000000000001243,1.49285733438772874e-12
7.90000000000000008e-2,1.00000000000001243,1.43406477478125231e-12
8.00000000000000017e-2,1.00000000000001243,1.37696286634579557e-12
8.10000000000000026e-2,1.00000000000001243,1.32150982094616189e-12
8.20000000000000034e-2,1.00000000000001243,1.26766480657255724e-12
8.30000000000000043e-2,1.00000000000001243,1.2153879264679929e-12
8.40000000000000052e-2,1.00000000000001243,1.16464019869716821e-12
8.50000000000000061e-2,1.00000000000001243,1.11538353614768941e-12
8.6000000000000007e-2,1.00000000000001243,1.06758072695470513e-12
8.70000000000000079e-2,1.00000000000001243,1.02119541534017907e-12
8.80000000000000088e-2,1.00000000000001243,9.7619208285823045e-13
8.90000000000000097e-2,1.00000000000001243,9.32536030038127001e-13
9.00000000000000105e-2,1.00000000000001243,8.90193358416698625e-13
