Frequency (Hz),Magnitude (dB),Phase (deg)
0.15,-23.4157158369883,103.001065165077
0.151390727194586,-23.3265207144884,103.107736550957
0.152794348536703,-23.2371754991369,103.215038732709
0.15421098357463,-23.1476780133089,103.322968851574
0.155640752965037,-23.0580260586399,103.431523834184
0.157083778483265,-22.9682174162148,103.540700387515
0.158540183033698,-22.8782498467742,103.650494993789
0.160010090660229,-22.7881210909377,103.760903905318
0.161493626556824,-22.6978288694464,103.871923139304
0.16299091707819,-22.6073708834232,103.983548472595
0.16450208975053,-22.5167448146524,104.095775436386
0.166027273282412,-22.4259483258789,104.208599310888
0.167566597575724,-22.3349790611278,104.322015119949
0.169120193736742,-22.2438346460441,104.436017625641
0.170688194087297,-22.1525126882537,104.550601322814
0.172270732176043,-22.0610107777462,104.665760433608
0.173867942789833,-21.9693264872793,104.781488901948
0.175479961965196,-21.8774573728059,104.897780388009
0.177106926999928,-21.7854009739244,105.014628262648
0.178748976464784,-21.6931548143524,105.132025601837
0.180406250215277,-21.6007164024239,105.249965181057
0.182078889403594,-21.5080832316118,105.3684394697
0.183767036490618,-21.4152527810742,105.487440625452
0.185470835258057,-21.3222225162267,105.606960488672
0.187190430820697,-21.2289898893402,105.726990576778
0.188925969638754,-21.1355523401651,105.847522078631
0.190677599530354,-21.0419072965812,105.968545848932
0.192445469684122,-20.9480521752756,106.090052402634
0.194229730671886,-20.8539843824469,106.212031909369
0.196030534461502,-20.7597013145381,106.334474187901
0.197848034429801,-20.6652003589966,106.457368700613
0.199682385375646,-20.5704788950628,106.580704548022
0.201533743533124,-20.4755342945874,106.70447046334
0.203402266584845,-20.3803639228776,106.828654807077
0.205288113675378,-20.2849651395724,106.953245561699
0.207191445424801,-20.1893352995473,107.078230326344
0.209112423942387,-20.0934717538484,107.203596311605
0.211051212840403,-19.9973718506564,107.329330334376
0.213007977248052,-19.9010329362808,107.455418812788
0.214982883825536,-19.8044523561834,107.581847761216
0.216976100778247,-19.7076274560327,107.708602785391
0.218987797871097,-19.6105555827879,107.835669077597
0.221018146442975,-19.5132340858134,107.963031411982
0.223067319421343,-19.4156603180232,108.090674139982
0.22513549133696,-19.3178316370556,108.218581185857
0.227222838338752,-19.219745406478,108.346736042364
0.22932953820881,-19.1213989970211,108.475121766557
0.231455770377535,-19.0227897878436,108.603720975739
0.23360171593892,-18.9239151678251,108.732515843552
0.235767557665974,-18.8247725368901,108.86148809624
0.237953480026289,-18.7253593073586,108.990619009065
0.240159669197748,-18.6256729053275,109.119889402905
0.242386313084388,-18.5257107720784,109.249279641033
0.2446336013324,-18.4254703655138,109.378769626085
0.246901725346283,-18.3249491616208,109.508338797224
0.249190878305144,-18.2241446559606,109.63796612752
0.251501255179155,-18.1230543651847,109.767630121528
0.253833052746156,-18.0216758285759,109.897308813108
0.256186469608414,-17.9200066096146,110.026979763458
0.258561706209543,-17.8180442975679,110.156620059395
0.26095896485157,-17.715786509103,110.286206311882
0.26337844971217,-17.6132308899216,110.415714654803
0.265820366862054,-17.5103751164162,110.545120744006
0.268284924282519,-17.4072168973463,110.674399756613
