#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BD8794
#Date Time: 2026-03-26 10:14:57.818.246.728
#Sample rate: 136.533Hz
#Samples: 16000
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -1 V Sample Mode: Average
#Channel 2: Range: 100 mV/div Offset: -1.5 V Sample Mode: Average
#Wavegen Channel 1: Disabled
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Disabled
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 3: Disabled
#Mode: Simple
#Type: DC
#Offset: 2.75 V
#Wavegen Channel 4: Disabled
#Mode: Simple
#Type: DC
#Offset: -2.75 V

Time (s),Channel 1 (V),Channel 2 (V)
-58.59392,0.9994848948710915,1.511034157681917
-58.58659575999999,0.9994848948710915,1.510698952941867
-58.57927151999999,0.9994012864704644,1.51078275412688
-58.57194728,0.9994012864704644,1.510866555311892
-58.56462303999999,0.9994012864704644,1.511285561236955
-58.5572988,0.9994012864704644,1.511201760051942
-58.54997456,0.9994012864704644,1.511285561236955
-58.54265031999999,0.9994848948710915,1.511201760051942
-58.53532608,0.9994848948710915,1.511201760051942
-58.52800183999999,0.9994848948710915,1.511201760051942
-58.52067759999999,0.9994848948710915,1.51111795886693
-58.51335336,0.9995685032717184,1.511201760051942
-58.50602911999999,0.9994848948710915,1.511201760051942
-58.49870488,0.9994848948710915,1.51111795886693
-58.49138064,0.9995685032717184,1.51111795886693
-58.48405639999999,0.9994012864704644,1.511201760051942
-58.47673216,0.9994848948710915,1.510698952941867
-58.46940791999999,0.9995685032717184,1.510363748201817
-58.46208367999999,0.9994848948710915,1.510363748201817
-58.45475944,0.9994012864704644,1.510698952941867
-58.44743519999999,0.9994848948710915,1.510866555311892
-58.44011096,0.9994012864704644,1.510950356496905
-58.43278672,0.9994012864704644,1.51111795886693
-58.42546247999999,0.9994012864704644,1.511201760051942
-58.41813824,0.9994848948710915,1.511201760051942
-58.41081399999999,0.9995685032717184,1.511201760051942
-58.40348975999999,0.9994848948710915,1.511285561236955
-58.39616552,0.9994848948710915,1.510950356496905
-58.38884127999999,0.9994012864704644,1.51078275412688
-58.38151704,0.9994012864704644,1.510615151756855
-58.3741928,0.9994012864704644,1.510447549386829
-58.36686855999999,0.9994848948710915,1.510866555311892
-58.35954432,0.9994848948710915,1.51111795886693
-58.35222008,0.9994848948710915,1.511201760051942
-58.34489583999999,0.9994848948710915,1.510447549386829
-58.3375716,0.9994848948710915,1.509860941091742
-58.33024735999999,0.9995685032717184,1.509609537536704
-58.32292311999999,0.9994848948710915,1.509693338721717
-58.31559888,0.9994848948710915,1.509609537536704
-58.30827463999999,0.9994012864704644,1.509693338721717
-58.3009504,0.9994012864704644,1.510363748201817
-58.29362616,0.9994848948710915,1.510447549386829
-58.28630191999999,0.9994012864704644,1.510531350571842
-58.27897768,0.9994848948710915,1.510531350571842
-58.27165343999999,0.9994012864704644,1.510447549386829
-58.26432919999999,0.9994848948710914,1.510447549386829
-58.25700496,0.9994012864704644,1.510531350571842
-58.24968071999999,0.9994848948710915,1.510363748201817
-58.24235648,0.9994012864704644,1.510950356496905
-58.23503224,0.9994012864704644,1.510447549386829
-58.22770799999999,0.9994848948710915,1.510950356496905
-58.22038376,0.9994848948710915,1.51111795886693
-58.21305951999999,0.9994848948710915,1.511201760051942
-58.20573527999999,0.9994012864704644,1.51111795886693
-58.19841104,0.9994012864704644,1.511201760051942
-58.19108679999999,0.9994848948710915,1.510866555311892
-58.18376256,0.9994012864704644,1.510363748201817
-58.17643832,0.9994012864704644,1.510363748201817
-58.16911407999999,0.9994012864704644,1.510363748201817
-58.16178984,0.9994012864704644,1.510866555311892
-58.15446559999999,0.9994012864704644,1.51111795886693
-58.14714135999999,0.9994012864704644,1.511034157681917
-58.13981712,0.9994848948710915,1.51111795886693
-58.13249287999999,0.9994848948710915,1.51111795886693
-58.12516864,0.9994848948710915,1.511201760051942
-58.1178444,0.9994848948710915,1.511369362421967
-58.11052015999999,0.9994848948710915,1.511955970717055
-58.10319592,0.9994848948710915,1.511955970717055
-58.09587167999999,0.9994848948710915,1.511955970717055
-58.08854743999999,0.9994012864704644,1.511536964791992
-58.0812232,0.9994012864704644,1.511285561236955
-58.07389895999999,0.9994848948710915,1.511704567162017
-58.06657472,0.9994848948710915,1.511201760051942
-58.05925048,0.9994848948710915,1.511955970717055
-58.05192623999999,0.9994012864704644,1.51145316360698
-58.044602,0.9994848948710915,1.511201760051942
-58.03727775999999,0.9994012864704644,1.511369362421967
-58.02995351999999,0.9994848948710915,1.511201760051942
-58.02262928,0.9994848948710915,1.511620765977005
-58.01530503999999,0.9994848948710915,1.511955970717055
-58.0079808,0.9994848948710915,1.511536964791993
-58.00065656,0.9994848948710915,1.511201760051942
-57.99333231999999,0.9994848948710915,1.51111795886693
-57.98600808,0.9994848948710915,1.51111795886693
-57.97868384,0.9995685032717184,1.511201760051942
-57.97135959999999,0.9994848948710915,1.511620765977005
-57.96403536,0.9994848948710915,1.511872169532042
-57.95671111999999,0.9994848948710915,1.512039771902068
-57.94938687999999,0.9994848948710915,1.511536964791993
-57.94206264,0.9994848948710915,1.511704567162017
-57.93473839999999,0.9994848948710915,1.511955970717055
-57.92741416,0.9994848948710915,1.511955970717055
-57.92008992,0.9994848948710915,1.511704567162017
-57.91276567999999,0.9995685032717184,1.511201760051942
-57.90544144,0.9994848948710915,1.511201760051942
-57.89811719999999,0.9994848948710915,1.511201760051942
-57.89079295999999,0.9995685032717184,1.511201760051942
-57.88346872,0.9995685032717184,1.511285561236955
-57.87614447999999,0.9995685032717184,1.511620765977005
